person_id,id,name,character,role
79581,tm155702,Ethelreda Leopold,Emerald City Manicurist (uncredited),ACTOR
79565,tm155702,Billy Curtis,Munchkin,ACTOR
2627311,tm155702,Jimmy the Crow,(uncredited),ACTOR
13435,tm155702,Victor Fleming,,DIRECTOR
14701,tm84701,Humphrey Bogart,Samuel Spade,ACTOR
27563,tm84701,Mary Astor,Brigid O'Shaughnessy,ACTOR
1367,tm84701,Peter Lorre,Joel Cairo,ACTOR
14706,tm84701,Sydney Greenstreet,Kasper Gutman,ACTOR
27566,tm84701,Lee Patrick,Effie Perine,ACTOR
27564,tm84701,Gladys George,Iva Archer,ACTOR
23836,tm84701,Elisha Cook Jr.,Wilmer Cook,ACTOR
27565,tm84701,Barton MacLane,Lt. of Detectives Dundy,ACTOR
13323,tm84701,Ward Bond,Det. Tom Polhaus,ACTOR
27567,tm84701,Jerome Cowan,Miles Archer,ACTOR
20173,tm84701,James Burke,Luke,ACTOR
27569,tm84701,Murray Alper,Frank Richman,ACTOR
27570,tm84701,John Hamilton,District Attorney Bryan,ACTOR
27574,tm84701,Charles Drake,Reporter (uncredited),ACTOR
74930,tm84701,Chester Gan,Bit Part (uncredited),ACTOR
14753,tm84701,Creighton Hale,Stenographer (uncredited),ACTOR
27575,tm84701,Robert Homans,Policeman (uncredited),ACTOR
27573,tm84701,William Hopper,Reporter (uncredited),ACTOR
27571,tm84701,Walter Huston,Captain Jacoby (uncredited),ACTOR
21764,tm84701,Hank Mann,Reporter (uncredited),ACTOR
27576,tm84701,Jack Mower,Announcer (uncredited),ACTOR
27572,tm84701,Emory Parnell,Ship's Mate (uncredited),ACTOR
17900,tm84701,John Huston,,DIRECTOR
15246,tm83648,Orson Welles,Charles Foster Kane,ACTOR
15248,tm83648,Joseph Cotten,Jedediah Leland,ACTOR
15253,tm83648,Dorothy Comingore,Susan Alexander Kane,ACTOR
15258,tm83648,Ray Collins,Jim W. Gettys,ACTOR
15252,tm83648,George Coulouris,Walter Parks Thatcher,ACTOR
15249,tm83648,Agnes Moorehead,Mary Kane,ACTOR
15257,tm83648,Paul Stewart,Raymond,ACTOR
15250,tm83648,Ruth Warrick,Emily Norton Kane,ACTOR
15259,tm83648,Erskine Sanford,Herbert Carter,ACTOR
15247,tm83648,William Alland,Jerry Thompson/Narrator,ACTOR
15251,tm83648,Everett Sloane,Mr. Bernstein,ACTOR
15260,tm83648,Fortunio Bonanova,Signor Matiste,ACTOR
15261,tm83648,Gus Schilling,John,ACTOR
15254,tm83648,Philip Van Zandt,Mr. Rawlston,ACTOR
15262,tm83648,Georgia Backus,Bertha Anderson,ACTOR
15256,tm83648,Harry Shannon,Jim Kane,ACTOR
15263,tm83648,Sonny Bupp,Charles Foster Kane III,ACTOR
15255,tm83648,Buddy Swan,Young Charles Foster Kane,ACTOR
15270,tm83648,Gregg Toland,Interviewer,ACTOR
15264,tm83648,Don Ackerman,Man at Party in Everglades (uncredited),ACTOR
15266,tm83648,Nat King Cole,Pianist in 'El Rancho' (uncredited),ACTOR
13367,tm83648,Gino Corrado,Gino (uncredited),ACTOR
